Name,Type of Meal,Cuisine,Price point,Rating,Distance
Amelia's,Lunch/Dinner,Mexican,$$,2,1
Amorino,Dessert,Italian (gelato),$,8,2
Bangkok,Lunch/Dinner,Thai,$$,8,1
Ba Le,Lunch/Dinner,Vietnamese (banh mi),$,9,4
Shawarma,Lunch/Dinner,Mediterranean,$$,3,1
Bova's,Dessert,Italian,$,10,3
B&B,Brunch/Lunch/Dinner,American,$$$$,8,3
Cafe Mami,Lunch/Dinner,Japanese,$$,6,4
Nero,Coffee,European coffee,$,7,1
